snap_date,Equity-option Greek Markowitz,Greek Markowitz + VIX,Beta/delta-neutral + VIX,Cost-aware Sortino + VIX,Equal premium,Equal risk,VIX hedge sleeve,Delta-matched equities,Underlying Markowitz
2023-04-28,-1.1727556025301296,-1.2608629500666684,-0.7805288747645147,-1.5887997999479746,-0.24584780108135948,-0.14225568391169718,-1.1853460639195972,-0.04307381939518751,-0.0063042886994784456
2023-05-31,0.2501731984891772,0.4436584101882489,0.29923984112155744,1.3548401162988803,0.177523567866047,-0.04017754203699808,-1.217552480292884,0.5696853967710641,0.12421457976217978
2023-06-30,0.28825130446330594,0.13213303097931345,0.0163533717170819,0.22350129410141295,0.17431971232126997,0.19190454603415089,-1.233758958099602,0.3756824628788157,0.07042663701683742
2023-07-31,-0.1194613870337831,-0.16048249298112938,-0.2510411061981255,-1.4104132244369252,-0.5121769803131686,-0.3301955238151082,-1.280283765604868,0.1809092699668465,0.01006153818923837
2023-08-31,-0.44316178074907187,-0.090741492812855,0.06756254880861676,-15.465713491788463,0.35986109374248654,0.6560483115503841,-0.6487699059749169,-0.013528460284595811,0.007969594453675384
2023-09-29,-4.517516794533191,-4.689639601438023,-2.2019092048123214,-13.364424737985651,-0.46534908153342935,-0.5453867992670384,-1.2465454226890973,-0.1921906360614241,-0.036596699193807716
2023-10-31,-0.392319583264785,-0.2341575917385707,-0.2767854186269663,-0.7582801175980679,-0.5748270152851307,-0.3927214192329503,-0.9197938106594807,-0.1522500365337423,0.0008859141704395303
2023-11-30,0.5592818403393963,0.27763084676278893,0.1269141462504076,3.7014272773860752,1.322446261245927,0.6842632117016013,-1.182777754469697,0.44173081465157227,0.0792771464348625
2023-12-29,-0.5166885549743746,-0.09497998742717803,-0.3660716490689691,-24.49942954911898,-0.5623661225406522,-0.4400191597013371,-1.207976123444152,0.15350884417135996,0.010947296137096723
2024-01-31,0.14221883365977514,0.24834381060226082,0.3060237408230372,2.3327892547730293,0.06556357894313442,0.07849338992783003,-0.8916966126852199,0.08392455663176329,0.04354557708106845
2024-02-29,-0.5041392335023179,-0.27914462445607724,-0.018824335971724226,-320.56433703696314,-0.7238968462646407,-0.27508267277467247,-1.1954060783201024,0.4021580824999481,0.10346947123381948
2024-04-30,-0.6654849064063664,-0.2675833506895101,-0.19179914736972953,-5.721505685681241,-1.734531279704241,0.202794634088953,-3.4260678970547467,0.034530669385651386,-0.027650408386415127
2024-05-31,0.01936704781919593,-0.18986704341145827,-0.2965280090600075,-35.8054552344862,0.04435963619514208,0.068641682619175,-1.2838873242550575,0.2848361426249182,0.05099600404150764
2024-06-28,0.255708940047348,0.18903740973658595,0.07363591297702805,-35.6102613677738,0.1294804883503463,0.17984235739016857,-0.8002700449600303,0.2749506350898413,0.06200561143814505
2024-07-31,0.06075042224068028,0.19384838508507266,0.19259982535225775,-2.5116021564030446,-0.46107659293809233,-0.2217671241387349,-1.0673828430959844,0.04306756391481295,-0.0174221605860967
2024-08-30,-0.6540990137159204,-0.5370507081607501,-0.30516267078053017,-11.873271255202877,-0.5718022692565051,-0.4312300122921686,-1.1873339432918657,-0.032537226296442075,-0.010755903546445685
2024-09-30,-0.07369444151671006,0.07588032515726634,0.09035489519314913,0.7553188463371007,-0.18104401874787968,-0.030573524565607045,0.4517983932142024,0.1599527932336129,0.04665497363538562
2024-10-31,0.18054808088542662,0.30620883721627057,0.23046913835911298,0.4614165595986848,-1.0543402806662778,-0.2884729601389688,-0.5514331880854233,0.05535665374621675,-0.006032653034936553
2024-11-29,0.2594330844883749,0.1347888057739438,0.18372585317036091,-3.4925793906694445,-0.0048417671630937575,0.05764859876116742,-1.1638920946573674,0.4279736197696569,0.07116592948780338
2024-12-31,0.07648869629508948,0.299535066385947,0.11134720722275943,-32.580184627790835,-0.5540448835995522,-0.019016907913483705,-1.453679851577608,0.12135112044143474,0.007138859163339291
2025-01-31,-0.9087105286307686,-0.4935118298843797,-0.7540698199889978,-11.892147291190483,-1.4955601333835138,-0.16718481941225244,-1.1813862471299068,0.03950955121947923,-0.014048733372036434
2025-02-28,-0.6135091027614306,-0.6594287691618262,-0.374935801585808,-19.862329602302207,-0.25600241851792266,-0.2445206698308376,-1.1809470901461325,-0.2606034097470527,-0.03865194532979639
2025-04-30,-0.5252151237223852,-0.5903504878395092,-0.2126343223139284,-0.0343318445154393,-0.12320745730526782,-0.0729162867689542,-0.5149168339379473,-0.268431083152301,-0.0352251043902098
2025-05-30,0.3745038847969999,0.0853133899568076,0.2307523471075869,0.6482348360928265,1.0080528549619405,0.7079878655396259,-1.1882813754862918,0.5260070593558501,0.13318027571337038
2025-06-30,-0.31538719929490944,-0.12393824733269618,-0.09025500254203797,-2.394034738541993,-0.5484305719696618,-0.332537229518937,-1.0465776764869215,0.22027256870334358,0.05166497375913093
2025-07-31,0.09508451338606753,-0.06482618331853995,-0.03177251395880777,0.3473048117780748,-2.4308061657927906,-0.6517606802439487,-1.1934565737304876,0.18257094572592902,0.04252858426658565
2025-08-29,-0.0938279486678015,-0.2026038933582717,-0.14595488311841306,-10.265528719393577,-0.4562049417453129,-0.36641724707243284,-1.1794067789137985,0.04745142397770395,-0.03508697221811085
2025-09-30,0.32880604994375573,0.4000180244764153,0.33864585627096877,0.84982590019272,0.05014434000826437,0.1839815616664197,-1.187981679318857,0.31997557365196605,0.02566339614317948
2025-10-31,-0.3824244352326872,-0.3190321406327987,-0.23233965461967948,-0.5360058015467741,-0.7818129561756633,-0.6048712829879614,-1.0600806349222442,0.17569467688577778,0.013899875918917632
2025-11-28,-0.23161676851889462,-0.22721824152454817,-0.15613515680246323,-0.6945191926441011,-0.07585282681939377,-0.0556119469376314,0.2922952458170922,-0.14225027132195467,-0.0677589820720757
2025-12-31,-0.7333905886572712,-0.5906250390708966,-0.5785203487444042,-33.13619766082437,-0.7525086330327011,-0.5594488161351321,-1.5815005009954168,0.0672763099888617,0.012230743515824746
2026-01-30,-0.3778434515752159,-0.2558191861182322,-0.13706419704670042,-2.3248350353708522,-0.3822616936901311,-0.22479688011911156,-0.8309071065869963,-0.051154060835483246,-0.023824790025796242
2026-02-27,-0.33028220898716126,-0.23829011753400242,-0.1336088744964925,-1.7786229232421635,-0.389313669584124,-0.35304663191630187,-1.0443610154727714,-0.2301576715929003,-0.06097427462255624
2026-03-31,-0.27301434393726465,-0.24882217259329165,-0.139702734977757,-0.7946738965702496,-0.5753273998944035,-0.4289029592360472,-0.8305645775046202,-0.1247494556838021,-0.020524434635931607
2026-04-30,0.30549029793891674,0.2158733151169572,-0.019132776035026874,-0.12569931910218207,1.683505987927378,1.0810843093479727,-1.170077278634852,0.4438954426578687,0.06277512007954412
